InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,1.254061,1.254061,-0.2409017,1.077647,1.023833,-24.98322,164.5873,-9.029816,2.006836,1.839798,-9.029807
1,2.52256,1.268499,0.1511665,1.432581,1.136207,-3.865753,-171.2855,20.30885,1.638267,1.418699,20.30885
2,3.584251,1.061691,0.368212,1.2025,1.03086,-17.3075,-157.3144,2.345085,1.872869,1.174857,2.345085
3,4.806149,1.221897,0.6228421,1.044342,0.7859584,-27.1073,-135.597,3.511163,2.043908,0.7958175,3.511164
4,6.108482,1.302334,0.6174026,1.296261,0.9098054,-11.75571,-140.9034,-16.2009,1.775972,0.8884317,-16.20091
5,7.495235,1.386753,0.3120601,1.256115,1.068226,-14.11594,-161.2296,-0.1046448,1.817166,1.243191,-0.1046448
6,9.05698,1.561745,0.04120548,1.385678,1.142589,-6.564514,-177.6228,-20.90356,1.685369,1.529307,-20.90355
7,9.988743,0.9317627,-0.1328794,1.629504,1.132635,7.44093,172.2988,-5.789215,1.440928,1.705209,-5.789219
8,11.11432,1.125576,-0.03569906,1.898377,1.066527,23.47677,177.7694,13.80421,1.161049,1.609727,13.80421
9,12.29996,1.185642,-0.01005255,1.783726,1.108853,16.48269,179.3993,3.454815,1.283119,1.58128,3.454815
10,13.36019,1.060226,0.03577665,1.76559,1.113422,15.40201,-177.8733,24.77569,1.30198,1.533678,24.77569
11,14.68622,1.326031,0.3888496,1.3184,1.053226,-10.46295,-156.7076,12.50981,1.75341,1.164266,12.50981
12,16.22059,1.53437,0.7308517,1.502424,0.832532,0.1388713,-133.042,-3.708954,1.568373,0.7512243,-3.708966
13,17.24893,1.028343,0.5686628,1.883566,0.8776672,22.55475,-141.9928,-6.749725,1.177142,0.9074459,-6.749737
14,18.81154,1.562607,0.1422592,2.030324,0.9857744,32.02735,-170.3401,-9.658295,1.011814,1.4022,-9.658298
15,19.89997,1.088436,0.07673319,1.740414,1.117633,13.91096,-175.4659,-7.118805,1.328004,1.491662,-7.118801
16,21.12571,1.225731,-0.2946762,1.472056,1.105188,-1.601318,162.855,-17.46991,1.598744,1.870034,-17.46991
17,22.40636,1.280659,0.1561475,1.904019,1.051325,23.82965,-170.1715,10.04256,1.15489,1.399257,10.04256
18,23.83228,1.425919,0.08893868,2.101348,0.9440219,36.96648,-173.6089,24.56585,0.9256095,1.459251,24.56585
19,24.92038,1.0881,0.2400244,1.873774,1.045925,21.94859,-165.0023,16.72151,1.187721,1.309036,16.72151
20,26.51742,1.597034,0.2751725,1.936446,1.006618,25.87735,-162.1914,-2.015594,1.119151,1.259977,-2.015606
21,27.71025,1.192829,0.1653719,1.913637,1.045297,24.43349,-169.5347,22.6,1.144352,1.388143,22.6
22,29.43773,1.727486,0.6184049,1.775574,0.8859583,15.9962,-139.9606,-4.564026,1.29161,0.8719773,-4.564034
23,30.99607,1.558334,0.3209983,1.926603,0.9955591,25.25216,-159.2118,21.96739,1.130063,1.207974,21.96739
24,32.17706,1.180996,0.5012913,1.674346,0.9975321,10.04058,-149.3969,6.091793,1.395555,1.036671,6.091793
25,33.78972,1.612659,0.6981264,1.897503,0.7454919,23.4222,-130.4637,5.015317,1.162002,0.7062249,5.015316
26,34.80867,1.018944,0.3585995,2.059504,0.897236,34.02152,-154.3636,-0.8401489,0.9770092,1.123357,-0.8401566
27,36.08257,1.273903,0.4286001,1.654922,1.040113,8.91228,-154.2886,-20.94275,1.415248,1.122048,-20.94274
28,37.30817,1.225601,0.4603159,2.064701,0.8349975,34.38156,-146.099,-10.06412,0.9707249,0.979113,-10.06411
29,38.47999,1.171822,0.5681055,2.086801,0.7269927,35.93033,-135.4447,-25.07553,0.9436937,0.7931591,-25.07554
30,39.97908,1.499092,0.2759958,1.722287,1.085101,12.84339,-163.556,-25.52576,1.346637,1.283794,-25.52575
31,41.11754,1.138458,-0.2163213,1.720352,1.101131,12.7297,167.1868,0.9477426,1.348621,1.794428,0.9477425
32,42.48962,1.372078,-0.576879,1.59979,0.960711,5.727099,144.5654,21.32614,1.47084,2.189246,21.32615
33,43.78355,1.29393,-0.306123,1.109501,1.018216,-22.98553,160.5779,10.29319,1.97197,1.909775,10.29319
34,45.30532,1.521767,-0.641008,0.9945202,0.7275803,-30.36319,132.0204,6.711177,2.100734,2.408198,6.711175
35,46.78762,1.4823,-0.3034998,0.9951863,0.9581157,-30.319,159.4156,17.49599,2.099962,1.930062,17.49599
36,48.06214,1.274521,-0.009630932,0.9483062,0.9839911,-33.48331,179.3384,-9.348633,2.15519,1.582344,-9.348618
37,49.23002,1.167885,0.2648655,1.237944,1.077994,-15.19211,-164.0703,17.56794,1.835949,1.292771,17.56794
38,50.29576,1.065735,0.4503823,1.074896,0.9351385,-25.15729,-150.1599,11.01638,2.009873,1.049989,11.01638
39,51.54254,1.24678,0.01785488,0.9378985,0.9768755,-34.20126,-178.763,2.554253,2.167721,1.549206,2.554254
